Energy(keV)	Counts
421,323	5828
421,549	5776
421,775	5741
422,002	5701
422,228	5721
422,454	5803
422,680	5787
422,906	5803
423,132	5725
423,358	5812
423,584	5661
423,810	5687
424,036	5757
424,262	5704
424,488	5832
424,715	5736
424,941	5835
425,167	5823
425,393	5874
425,619	6491
425,845	7642
426,071	11428
426,297	19604
426,523	36673
426,749	63663
426,975	97785
427,201	129195
427,428	144671
427,654	135858
427,880	107004
428,106	71838
428,332	41158
428,558	21810
428,784	11715
429,010	7413
429,236	6118
429,462	5541
429,688	5523
429,914	5473
430,141	5344
430,367	5504
430,593	5383
430,819	5482
431,045	5442
431,271	5322
431,497	5350
431,723	5348
431,949	5341
432,175	5317
432,401	5338
432,628	5412
432,854	5273
433,080	5333
433,306	5430
433,532	5182
433,758	5405
433,984	5382
434,210	5331
434,436	5473
434,662	5400
434,888	5361
435,114	5242
435,341	5417
435,567	5498
435,793	5466
436,019	5453
436,245	5339
436,471	5420
436,697	5414
436,923	5270
437,149	5361
437,375	5418
437,601	5407
437,827	5130
438,054	5308
438,280	5226
438,506	5313
438,732	5300
438,958	5339
439,184	5404
439,410	5250
439,636	5456
439,862	5231
440,088	5211
440,314	5074
440,540	5186
440,767	5411
440,993	5247
441,219	5295
441,445	5177
441,671	5322
441,897	5321
442,123	5403
442,349	5583
442,575	6269
442,801	6794
443,027	7535
443,253	8742
443,480	9710
443,706	10872
443,932	11928
444,158	11896
444,384	10966
444,610	9656
444,836	7926
445,062	6578
445,288	5675
445,514	5521
445,740	5418
445,966	5347
446,193	5298
446,419	5300
446,645	5234
446,871	5219
447,097	5214
447,323	5151
447,549	5322
447,775	5317
448,001	5316
448,227	5243
448,453	5325
448,679	5150
448,906	5298
449,132	5128
449,358	5254
449,584	5235
449,810	5175
450,036	5188
450,262	5229
450,488	5081
450,714	5294
450,940	5311
451,166	5188
451,392	5109
451,619	5235
